"","PLANT_ID","days","Survey.event","Treat","EPICHL_TRT","COLLET_TRT","RHIZOC_TRT","NMDS1","NMDS2"
"1","1",1,1,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"2","1",11,4,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"3","1",14,5,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"4","1",18,6,"Epi (+)","inoculated","mock","mock",0.0102091908785745,-0.017519086327003
"5","1",21,7,"Epi (+)","inoculated","mock","mock",0.0157844175929642,-0.0956031653403732
"6","1",25,8,"Epi (+)","inoculated","mock","mock",0.0201131824157996,-0.0099768569693775
"7","1",28,9,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"8","1",32,10,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"9","1",35,11,"Epi (+)","inoculated","mock","mock",-0.0105619616306069,-0.0129993843130921
"10","1",39,12,"Epi (+)","inoculated","mock","mock",-0.0108710938108533,0.00193080009378535
"11","1",4,2,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"12","1",42,13,"Epi (+)","inoculated","mock","mock",-0.00438043682501424,0.043868300085496
"13","1",6,3,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"14","10",1,1,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"15","10",11,4,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"16","10",14,5,"Epi (+)","inoculated","mock","mock",-0.0288078939673107,-0.0283907394905754
"17","10",18,6,"Epi (+)","inoculated","mock","mock",-0.0377967072403849,0.0579380286336196
"18","10",21,7,"Epi (+)","inoculated","mock","mock",0.0116889286125363,0.151102866009743
"19","10",25,8,"Epi (+)","inoculated","mock","mock",-0.0494477286133408,0.151807102711767
"20","10",28,9,"Epi (+)","inoculated","mock","mock",-0.0770357437545469,0.140649146831026
"21","10",32,10,"Epi (+)","inoculated","mock","mock",-0.0336677921451968,0.19201072024265
"22","10",35,11,"Epi (+)","inoculated","mock","mock",-0.165806241699048,0.126997416997707
"23","10",39,12,"Epi (+)","inoculated","mock","mock",-0.069938948053948,0.194369769600968
"24","10",4,2,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"25","10",42,13,"Epi (+)","inoculated","mock","mock",-0.0635113537616797,0.103112912733453
"26","10",6,3,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"27","100",1,1,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.00744013478941864,-0.0160681804564693
"28","100",11,4,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",0.0272301698985074,0.0106929000455955
"29","100",14,5,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.0216388403018026,0.00979863510701332
"30","100",18,6,"Epi (-) Col (+) Rhiz (+)","free","inoculated","inoculated",-0.0361432007850277,0.056094131134438
