Treat,PLANT_ID,EPICHL_TRT,COLLET_TRT,RHIZOC_TRT,days,Survey.event,Treatment.code,Treat.better,NMDS1,NMDS2
Epi (-),6,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),6,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),6,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),6,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),6,free,mock,mock,14,5,EF,No Symbiont,0.00789638,-0.00102731
Epi (-),6,free,mock,mock,18,6,EF,No Symbiont,0.004863846,0.004075939
Epi (-),6,free,mock,mock,21,7,EF,No Symbiont,0.011501686,-0.004324852
Epi (-),6,free,mock,mock,25,8,EF,No Symbiont,0.008923927,-0.022394626
Epi (-),6,free,mock,mock,28,9,EF,No Symbiont,-0.003480039,-0.025313658
Epi (-),6,free,mock,mock,32,10,EF,No Symbiont,-0.00872909,-0.022055088
Epi (-),6,free,mock,mock,35,11,EF,No Symbiont,-0.012728102,0.009405877
Epi (-),6,free,mock,mock,39,12,EF,No Symbiont,-0.009332464,0.010843526
Epi (-),6,free,mock,mock,42,13,EF,No Symbiont,-0.044963716,0.000695069
Epi (-),22,free,mock,mock,1,1,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),22,free,mock,mock,4,2,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),22,free,mock,mock,6,3,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),22,free,mock,mock,11,4,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),22,free,mock,mock,14,5,EF,No Symbiont,-0.002578372,0.013892452
Epi (-),22,free,mock,mock,18,6,EF,No Symbiont,0.004013594,0.028671469
Epi (-),22,free,mock,mock,21,7,EF,No Symbiont,0.027378877,-0.007011473
Epi (-),22,free,mock,mock,25,8,EF,No Symbiont,-0.037547109,0.289735172
Epi (-),22,free,mock,mock,28,9,EF,No Symbiont,0.001307562,-0.046170599
