PLANT_ID,Epichloe.presence,immunoblot.date,tested.by,scored.by,entered.by,Oven-dried.weight(g),Date.weighed,Scale used,Weighed by,Date harvested 
1,1,11/11/2019,JK,JK,JK,0.56,11/27/2019,Scout pro 400g,JK,10/31/2019
2,0,11/11/2019,JK,JK,JK,0.38,11/14/2019,Mettler AE 160,JK,10/31/2019
3,NA,11/11/2019,JK,JK,JK,0.13,11/27/2019,Scout pro 400g,JK,10/31/2019
4,0,11/11/2019,JK,JK,JK,1.1,11/27/2019,Scout pro 400g,JK,10/31/2019
5,0,11/11/2019,JK,JK,JK,0.83,11/27/2019,Scout pro 400g,JK,10/31/2019
6,0,11/11/2019,JK,JK,JK,0.64,11/14/2019,Mettler AE 160,JK,10/31/2019
7,0,11/11/2019,JK,JK,JK,0.6,11/27/2019,Scout pro 400g,JK,10/31/2019
8,NA,11/11/2019,JK,JK,JK,0,11/27/2019,Scout pro 400g,JK,10/31/2019
9,0,11/11/2019,JK,JK,JK,0.97,11/27/2019,Scout pro 400g,JK,10/31/2019
10,0,11/11/2019,JK,JK,JK,1.14,11/27/2019,Scout pro 400g,JK,10/31/2019
11,0,11/11/2019,JK,JK,JK,0.65,11/14/2019,Mettler AE 160,JK,10/31/2019
12,0,11/11/2019,JK,JK,JK,1.04,11/27/2019,Scout pro 400g,JK,10/31/2019
13,0,11/11/2019,JK,JK,JK,0.97,11/27/2019,Scout pro 400g,JK,10/31/2019
14,0,11/11/2019,JK,JK,JK,0.8,11/27/2019,Scout pro 400g,JK,10/31/2019
15,0,11/11/2019,JK,JK,JK,0.66,11/27/2019,Scout pro 400g,JK,10/31/2019
16,0,11/11/2019,JK,JK,JK,1.06,11/27/2019,Scout pro 400g,JK,10/31/2019
17,0,11/11/2019,JK,JK,JK,1.24,11/27/2019,Scout pro 400g,JK,10/31/2019
18,0,11/11/2019,JK,JK,JK,1.02,11/14/2019,Mettler AE 160,JK,10/31/2019
19,0,11/11/2019,JK,JK,JK,1.38,11/27/2019,Scout pro 400g,JK,10/31/2019
20,0,11/11/2019,JK,JK,JK,0.36,11/27/2019,Scout pro 400g,JK,10/31/2019
21,0,11/11/2019,JK,JK,JK,0.75,11/14/2019,Mettler AE 160,JK,10/31/2019
22,0,11/11/2019,JK,JK,JK,0.7,11/27/2019,Scout pro 400g,JK,10/31/2019
23,0,11/11/2019,JK,JK,JK,0.94,11/27/2019,Scout pro 400g,JK,10/31/2019
24,0,11/11/2019,JK,JK,JK,1.07,11/27/2019,Scout pro 400g,JK,10/31/2019
25,0,11/11/2019,JK,JK,JK,0.92,11/27/2019,Scout pro 400g,JK,10/31/2019
26,0,11/11/2019,JK,JK,JK,1.13,11/27/2019,Scout pro 400g,JK,10/31/2019
27,0,11/11/2019,JK,JK,JK,0.92,11/27/2019,Scout pro 400g,JK,10/31/2019
28,0,11/11/2019,JK,JK,JK,1.58,11/14/2019,Mettler AE 160,JK,10/31/2019
29,0,11/11/2019,JK,JK,JK,1.13,11/27/2019,Scout pro 400g,JK,10/31/2019
30,0,11/11/2019,JK,JK,JK,0.82,11/27/2019,Scout pro 400g,JK,10/31/2019
31,0,11/11/2019,JK,JK,JK,1.2,11/27/2019,Scout pro 400g,JK,10/31/2019
32,0,11/11/2019,JK,JK,JK,1.06,11/14/2019,Mettler AE 160,JK,10/31/2019
33,0,11/11/2019,JK,JK,JK,0.48,11/27/2019,Scout pro 400g,JK,10/31/2019
34,0,11/11/2019,JK,JK,JK,1.92,11/27/2019,Scout pro 400g,JK,10/31/2019
35,0,11/11/2019,JK,JK,JK,1.54,11/27/2019,Scout pro 400g,JK,10/31/2019
36,0,11/11/2019,JK,JK,JK,1.06,11/27/2019,Scout pro 400g,JK,10/31/2019
37,0,11/11/2019,JK,JK,JK,1.27,11/27/2019,Scout pro 400g,JK,10/31/2019
38,1,11/11/2019,JK,JK,JK,0.78,11/27/2019,Scout pro 400g,JK,10/31/2019
39,0,11/11/2019,JK,JK,JK,1.2,11/27/2019,Scout pro 400g,JK,10/31/2019
40,1,11/11/2019,JK,JK,JK,1.17,11/27/2019,Scout pro 400g,JK,10/31/2019
41,1,11/11/2019,JK,JK,JK,1.02,11/27/2019,Scout pro 400g,JK,10/31/2019
42,0,11/11/2019,JK,JK,JK,1.57,11/27/2019,Scout pro 400g,JK,10/31/2019
43,0,11/11/2019,JK,JK,JK,1.22,11/27/2019,Scout pro 400g,JK,10/31/2019
44,0,11/11/2019,JK,JK,JK,1.29,11/27/2019,Scout pro 400g,JK,10/31/2019
45,0,11/11/2019,JK,JK,JK,0.81,11/27/2019,Scout pro 400g,JK,10/31/2019
46,0,11/11/2019,JK,JK,JK,0.5,11/27/2019,Scout pro 400g,JK,10/31/2019
47,0,11/11/2019,JK,JK,JK,0.88,11/27/2019,Scout pro 400g,JK,10/31/2019
48,0,11/11/2019,JK,JK,JK,1.22,11/14/2019,Mettler AE 160,JK,10/31/2019
49,1,11/11/2019,JK,JK,JK,1,11/27/2019,Scout pro 400g,JK,10/31/2019
50,0,11/11/2019,JK,JK,JK,1.24,11/27/2019,Scout pro 400g,JK,10/31/2019
51,0,11/11/2019,JK,JK,JK,1.34,11/27/2019,Scout pro 400g,JK,10/31/2019
52,0,11/11/2019,JK,JK,JK,0.92,11/27/2019,Scout pro 400g,JK,10/31/2019
53,1,11/11/2019,JK,JK,JK,0.96,11/27/2019,Scout pro 400g,JK,10/31/2019
54,0,11/11/2019,JK,JK,JK,0.79,11/14/2019,Mettler AE 160,JK,10/31/2019
55,0,11/11/2019,JK,JK,JK,0.91,11/27/2019,Scout pro 400g,JK,10/31/2019
56,0,11/11/2019,JK,JK,JK,1.01,11/27/2019,Scout pro 400g,JK,10/31/2019
57,1,11/11/2019,JK,JK,JK,1,11/27/2019,Scout pro 400g,JK,10/31/2019
58,0,11/11/2019,JK,JK,JK,1.08,11/27/2019,Scout pro 400g,JK,10/31/2019
59,0,11/11/2019,JK,JK,JK,1.4,11/27/2019,Scout pro 400g,JK,10/31/2019
60,0,11/11/2019,JK,JK,JK,0.48,11/27/2019,Scout pro 400g,JK,10/31/2019
