Survey.event,Plot.location,Treatment.code,PLANT_ID,Tiller.ID,Leaf.ID,Damage,Chew,Scrape,Mechanical,Chlorosis,Col,%Col,#C.Lesions,Rhiz,%Rhiz,#R.Lesions,Rust,%Rust,#P.Lesions ,GLS,%GLS,#G.Lesions ,Epichloe.presence,Survey.Date,Notes,Observer,Recorder
1,A39,EI,1,1,1,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,A39,EI,1,1,2,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,A39,EI,1,1,3,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,A39,EI,1,1,4,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,A39,EI,1,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
2,A39,EI,1,1,1,D,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,A39,EI,1,1,2,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,A39,EI,1,1,3,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,A39,EI,1,1,4,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,A39,EI,1,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,A39,EI,1,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,A39,EI,1,1,2,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,A39,EI,1,1,3,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,A39,EI,1,1,4,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,A39,EI,1,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,B44,EI,1,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,B44,EI,1,1,2,D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,B44,EI,1,1,3,D,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,B44,EI,1,1,4,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,B44,EI,1,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
5,B44,EI,1,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3-Oct-19,NA,"JK, BMN",JK. BMN
5,B44,EI,1,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3-Oct-19,NA,"JK, BMN",JK. BMN
5,B44,EI,1,1,3,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3-Oct-19,NA,"JK, BMN",JK. BMN
5,B44,EI,1,1,4,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3-Oct-19,NA,"JK, BMN",JK. BMN
5,B44,EI,1,1,5,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3-Oct-19,NA,"JK, BMN",JK. BMN
6,A19,EI,1,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,A19,EI,1,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,A19,EI,1,1,3,D,0,1,1,0,1,1,2,1,1,2,0,0,0,0,0,0,1,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,A19,EI,1,1,4,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,A19,EI,1,1,5,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
7,A19,EI,1,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10-Oct-19,NA,"JK, RC","JK, RC"
7,A19,EI,1,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10-Oct-19,NA,"JK, RC","JK, RC"
7,A19,EI,1,1,3,D,0,1,0,0,1,1,2,1,10,3,0,0,0,0,0,0,1,10-Oct-19,NA,"JK, RC","JK, RC"
7,A19,EI,1,1,4,D,0,0,1,0,0,0,0,0,0,0,1,0.01,1,0,0,0,1,10-Oct-19,NA,"JK, RC","JK, RC"
7,A19,EI,1,1,5,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10-Oct-19,NA,"JK, RC","JK, RC"
8,C10,EI,1,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14-Oct-19,NA,"JK, BMN, RC","JK, BMN, RC"
8,C10,EI,1,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14-Oct-19,NA,"JK, BMN, RC","JK, BMN, RC"
8,C10,EI,1,1,3,D,0,0,0,0,1,2,2,1,1,1,0,0,0,0,0,0,1,14-Oct-19,NA,"JK, BMN, RC","JK, BMN, RC"
8,C10,EI,1,1,4,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14-Oct-19,NA,"JK, BMN, RC","JK, BMN, RC"
8,C10,EI,1,1,5,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14-Oct-19,NA,"JK, BMN, RC","JK, BMN, RC"
9,C10,EI,1,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17-Oct-19,NA,"RC, BMN","RC, BMN"
9,C10,EI,1,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17-Oct-19,NA,"RC, BMN","RC, BMN"
9,C10,EI,1,1,8,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17-Oct-19,NA,"RC, BMN","RC, BMN"
9,C10,EI,1,1,4,D,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17-Oct-19,NA,"RC, BMN","RC, BMN"
9,C10,EI,1,1,5,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17-Oct-19,NA,"RC, BMN","RC, BMN"
10,A22,EI,1,1,6,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
10,A22,EI,1,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
10,A22,EI,1,1,8,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
10,A22,EI,1,1,4,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
10,A22,EI,1,1,5,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
