PLANT_ID,EPICHL_TRT,COLLET_TRT,RHIZOC_TRT,Treatment_Code,,
1,inoculated,mock,mock,EI,,
2,inoculated,inoculated,inoculated,EI_CR,,
3,inoculated,mock,mock,EI,,
4,inoculated,mock,mock,EI,,
5,inoculated,mock,mock,EI,,
6,free,mock,mock,EF,,
7,free,mock,inoculated,EF_R,,
8,free,mock,inoculated,EF_R,,
9,free,inoculated,mock,EF_C,, 
10,inoculated,mock,mock,EI,,
11,inoculated,mock,inoculated,EI_R,,
12,free,inoculated,mock,EF_C,,
13,inoculated,inoculated,mock,EI_C,,
14,inoculated,inoculated,inoculated,EI_CR,,
15,inoculated,mock,inoculated,EI_R,,
16,free,inoculated,mock,EF_C,,
17,inoculated,inoculated,inoculated,EI_CR,,
18,free,mock,inoculated,EF_R,,
19,free,mock,mock,EF,,
20,inoculated,inoculated,mock,EI_C,,
21,inoculated,mock,mock,EI,,
22,free,mock,mock,EF,,
23,inoculated,inoculated,inoculated,EI_CR,,
24,inoculated,mock,inoculated,EI_R,,
25,free,mock,mock,EF,,
26,inoculated,inoculated,inoculated,EI_CR,,
27,free,mock,mock,EF,,
28,free,inoculated,mock,EF_C,,
29,inoculated,mock,inoculated,EI_R,,
30,free,mock,inoculated,EF_R,,
31,free,inoculated,mock,EF_C,,
32,inoculated,inoculated,mock,EI_C,,
33,inoculated,inoculated,mock,EI_C,,
34,free,inoculated,inoculated,EF_CR,,
35,free,mock,mock,EF,,
36,inoculated,inoculated,inoculated,EI_CR,,
37,inoculated,mock,inoculated,EI_R,,
38,inoculated,mock,mock,EI,,
39,free,inoculated,inoculated,EF_CR,,
40,inoculated,mock,inoculated,EI_R,,
41,inoculated,inoculated,mock,EI_C,,
42,free,inoculated,inoculated,EF_CR,,
43,free,mock,inoculated,EF_R,,
44,free,inoculated,inoculated,EF_CR,,
45,free,inoculated,mock,EF_C,,
46,inoculated,inoculated,inoculated,EI_CR,,
47,inoculated,mock,mock,EI,,
48,inoculated,inoculated,inoculated,EI_CR,,
49,inoculated,inoculated,mock,EI_C,,
50,free,mock,inoculated,EF_R,,
51,free,inoculated,inoculated,EF_CR,,
52,free,mock,inoculated,EF_R,,
53,inoculated,mock,mock,EI,,
54,free,Inoculated,Inoculated,EF_CR,,
55,inoculated,inoculated,mock,EI_C,,
56,inoculated,inoculated,mock,EI_C,,
57,inoculated,inoculated,mock,EI_C,,
58,inoculated,mock,inoculated,EI_R,,
59,free,mock,mock,EF,,
60,inoculated,inoculated,mock,EI_C,,
61,free,inoculated,inoculated,EF_CR,,
62,inoculated,inoculated,mock,EI_C,,
63,inoculated,inoculated,mock,EI_C,,
64,free,inoculated,mock,EF_C,,
65,free,mock,inoculated,EF_R,,
66,inoculated,mock,mock,EI,,
67,inoculated,mock,inoculated,EI_R,,
68,inoculated,mock,mock,EI,,
69,free,inoculated,inoculated,EF_CR,,
70,inoculated,mock,inoculated,EI_R,,
71,free,inoculated,mock,EF_C,,
72,inoculated,mock,inoculated,EI_R,,
73,inoculated,inoculated,mock,EI_C,,
74,inoculated,mock,inoculated,EI_R,,
75,inoculated,mock,mock,EI,,
76,inoculated,inoculated,inoculated,EI_CR,,
77,inoculated,mock,mock,EI,,
78,free,inoculated,mock,EF_C,,
79,inoculated,inoculated,inoculated,EI_CR,,
80,free,inoculated,mock,EF_C,,
81,inoculated,mock,inoculated,EI_R,,
82,free,inoculated,inoculated,EF_CR,,
83,inoculated,mock,inoculated,EI_R,,
84,inoculated,mock,inoculated,EI_R,,
85,free,inoculated,inoculated,EF_CR,,
86,inoculated,mock,mock,EI,,
87,free,mock,mock,EF,,
88,inoculated,inoculated,inoculated,EI_CR,,
89,inoculated,mock,inoculated,EI_R,,
90,inoculated,mock,mock,EI,,
91,inoculated,mock,inoculated,EI_R,,
92,inoculated,mock,mock,EI,,
93,inoculated,inoculated,mock,EI_C,,
94,inoculated,inoculated,inoculated,EI_CR,,
95,free,mock,mock,EF,,
96,inoculated,mock,inoculated,EI_R,,
97,inoculated,inoculated,mock,EI_C,,
98,inoculated,inoculated,mock,EI_C,,
99,inoculated,inoculated,mock,EI_C,,
100,free,inoculated,inoculated,EF_CR,,
101,free,mock,mock,EF,,
102,free,inoculated,mock,EF_C,,
103,free,mock,inoculated,EF_R,,
104,free,inoculated,inoculated,EF_CR,,
105,inoculated,mock,inoculated,EI_R,,
106,free,inoculated,inoculated,EF_CR,,
107,free,mock,inoculated,EF_R,,
108,free,mock,inoculated,EF_R,,
109,inoculated,mock,mock,EI,,
110,free,inoculated,mock,EF_C,,
111,inoculated,inoculated,mock,EI_C,,
112,inoculated,mock,inoculated,EI_R,,
113,inoculated,inoculated,inoculated,EI_CR,,
114,inoculated,inoculated,inoculated,EI_CR,,
115,inoculated,inoculated,inoculated,EI_CR,,
116,inoculated,mock,mock,EI,,
117,inoculated,inoculated,inoculated,EI_CR,,
118,inoculated,inoculated,inoculated,EI_CR,,
119,inoculated,inoculated,inoculated,EI_CR,,
120,free,mock,inoculated,EF_R,,
121,inoculated,mock,mock,EI,,
122,inoculated,inoculated,mock,EI_C,,
123,inoculated,inoculated,inoculated,EI_CR,,
124,free,mock,mock,EF,,
125,inoculated,mock,inoculated,EI_R,,
126,inoculated,mock,inoculated,EI_R,,
127,inoculated,mock,mock,EI,,
128,free,inoculated,mock,EF_C,,
129,inoculated,inoculated,inoculated,EI_CR,,
130,inoculated,inoculated,mock,EI_C,,
131,inoculated,inoculated,mock,EI_C,,
132,inoculated,inoculated,inoculated,EI_CR,,
133,free,mock,mock,EF,,
134,free,inoculated,mock,EF_C,,
135,free,mock,inoculated,EF_R,,
136,inoculated,mock,mock,EI,,
